ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,MES_NASC,ANO_NASC,COMPUTADOR,ESC_MAE,ESC_PAI,USO_TEMPO_TELAS,AFAZERES_DOM,TRABALHO,PERSPECTIVAS
2017,Nordeste,BA,2903904,Interior,Municipal,Urbana,226.199202,189.590047,Feminino,Parda,Fevereiro,2003,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Menos de 1 hora,Mais de 3 horas,Não,Somente trabalhar
2017,Sudeste,MG,3101607,Interior,Estadual,Urbana,154.920456,163.346252,Feminino,Parda,Fevereiro,2002,"Sim, um",Completou a Faculdade,Não sei, , , ,Continuar estudando e trabalhar
2017,Sudeste,SP,3504503,Interior,Estadual,Urbana,278.786533,315.75306,Masculino,Branca,Junho,2003,"Sim, um",Não sei,Não sei,Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,CE,2314102,Interior,Municipal,Urbana,374.129344,362.43696,Masculino,Parda,Setembro,2002,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
2017,Sudeste,RJ,3305000,Interior,Estadual,Urbana,237.691512,167.403085,Masculino,Não quero declarar,Junho,2001,"Sim, três",Completou a Faculdade,Completou a Faculdade,Mais de 3 horas,Não faço trabalhos domésticos,Não,Continuar estudando e trabalhar
2017,Sudeste,RJ,3304904,Interior,Estadual,Urbana,196.354356,239.756989,Masculino,Indígena,Setembro,2001,Não tem,Não sei,Não sei,"Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Ainda não sei
2017,Nordeste,RN,2408102,Capital,Municipal,Urbana,237.012762,183.769812,Masculino,Não quero declarar,Setembro,2002,"Sim, um",Não sei,Não sei,Menos de 1 hora,Não faço trabalhos domésticos,Não,Somente continuar estudando
2017,Sudeste,SP,3548708,Interior,Estadual,Urbana,339.951845,313.549058,Feminino,Branca,Março,2003,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,MG,3170206,Interior,Estadual,Urbana,252.152638,260.252314,Feminino,Parda,Junho,2002,"Sim, três","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,MG,3138203,Interior,Estadual,Urbana,178.344281,135.460731,Masculino,Preta,Setembro,2001,"Sim, dois",Não sei,Não sei,Mais de 3 horas,Não faço trabalhos domésticos,Não,Somente continuar estudando
2017,Sudeste,SP,3550308,Capital,Estadual,Urbana,287.290028,262.715713,Masculino,Branca,Agosto,2003,"Sim, um",Completou a Faculdade,Completou a Faculdade,Mais de 3 horas,Não faço trabalhos domésticos,Não,Somente continuar estudando
2017,Nordeste,MA,2106805,Interior,Municipal,Rural,267.795352,225.301835,Masculino,Preta,Agosto,2002,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade",Não sei,Menos de 1 hora,Não faço trabalhos domésticos,Não,Ainda não sei
2017,Sudeste,SP,3509007,Interior,Estadual,Urbana,316.030693,243.277255,Feminino,Parda,Março,2003,"Sim, um",Não sei,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,MA,2105302,Interior,Municipal,Urbana,229.394341,169.439801,Feminino,Branca,Junho,2001,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Entre 1 e 2 horas,Menos de 1 hora,Não,Somente continuar estudando
2017,Nordeste,BA,2907202,Interior,Municipal,Urbana,180.152224,204.236576,Masculino,Parda,Agosto,2001,Não tem,Não sei,Não sei,"Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Sudeste,RJ,3304557,Capital,Municipal,Urbana,318.930642,282.755348,Masculino, ,Junho,2003,"Sim, dois",Não sei,Não sei,Mais de 3 horas,Menos de 1 hora,Não,Somente continuar estudando
2017,Sudeste,RJ,3304904,Interior,Estadual,Urbana,262.167289,227.287131,Feminino,Branca,Setembro,2002,Não tem,Completou a Faculdade,"Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Não faço trabalhos domésticos,Não,Ainda não sei
2017,Sudeste,RJ,3302858,Interior,Municipal,Urbana,229.737518,207.911776,Feminino,Parda,Abril,2002,"Sim, um",Completou a Faculdade,Completou a Faculdade,Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,MG,3107307,Interior,Municipal,Urbana,205.565415,203.413282,Masculino,Parda,Fevereiro,2002,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Nunca estudou,Entre 1 e 2 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Centro-Oeste,GO,5209952,Interior,Municipal,Urbana,214.825508,260.128736,Masculino,Preta,Novembro,2002,Não tem,Não sei, , , , , 
2017,Nordeste,CE,2304400,Capital,Municipal,Urbana,181.820507,144.896921,Masculino,Parda,Agosto,2000,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade",Não sei,"Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Somente continuar estudando
